timestamp,speed_knots,course_bearing,wind_direction,wind_angle,tack,point_of_sail,speed_knots_smooth,course_bearing_smooth,wind_angle_bin
2025-06-28 09:50:58.900000+00:00,4.81672242280382,45.929272516669755,112.0,113.92927251666976,port,Broad Reach,4.681976345150728,45.44092227863236,110.0
2025-06-28 09:51:00.900000+00:00,4.804313284513998,43.95895607634452,112.0,111.95895607634452,port,Broad Reach,4.681976345150728,45.44092227863236,110.0
2025-06-28 09:51:02.900000+00:00,4.341065915988126,51.509467989261,112.0,119.509467989261,port,Broad Reach,4.681976345150728,45.44092227863236,110.0
2025-06-28 09:51:04.900000+00:00,4.6511412934537475,45.80747327701516,112.0,113.80747327701516,port,Broad Reach,4.702651431245025,44.59179098913089,110.0
2025-06-28 09:51:06.900000+00:00,4.7966388089939525,39.999441533871334,112.0,107.99944153387133,port,Broad Reach,4.660413974406827,43.61241363840613,100.0
2025-06-28 09:51:08.900000+00:00,4.920097853275299,41.68361606916244,112.0,109.68361606916244,port,Broad Reach,4.726890438461493,41.36253680860737,100.0
2025-06-28 09:51:10.900000+00:00,4.593126000323009,39.06206932272073,112.0,107.06206932272073,port,Broad Reach,4.783922821840325,39.38074523197152,100.0
2025-06-28 09:51:12.900000+00:00,4.673448236261456,40.260083840267214,112.0,108.26008384026721,port,Broad Reach,4.8045295547960825,38.44134572892102,100.0
2025-06-28 09:51:14.900000+00:00,4.9363032103479085,35.89851539383585,112.0,103.89851539383585,port,Broad Reach,4.81107319436464,36.901775194396876,100.0
2025-06-28 09:51:16.900000+00:00,4.899672473772741,35.30244401861887,112.0,103.30244401861887,port,Broad Reach,4.868981140126948,37.705040027859965,100.0
2025-06-28 09:51:18.900000+00:00,4.952816051118088,33.9857633965417,112.0,101.9857633965417,port,Broad Reach,4.944150610879176,37.179783995534535,100.0
2025-06-28 09:51:20.900000+00:00,4.882665729134548,43.078393490036206,112.0,111.0783934900362,port,Broad Reach,5.0044246057493575,36.87531991720366,110.0
2025-06-28 09:51:22.900000+00:00,5.049295590022598,37.63380367864005,112.0,105.63380367864005,port,Broad Reach,4.856257515215009,36.00639284124422,100.0
2025-06-28 09:51:24.900000+00:00,5.237673184698813,34.376195002181476,112.0,102.37619500218148,port,Broad Reach,4.803190323304323,36.449527731266,100.0
2025-06-28 09:51:26.900000+00:00,4.158837021100999,30.95780863882169,112.0,98.95780863882169,port,Beam Reach,4.729630494731823,35.39819066110597,90.0
2025-06-28 09:51:28.900000+00:00,4.687480091564652,36.201437846650606,112.0,104.2014378466506,port,Broad Reach,4.624991342216061,35.01621338919207,100.0
2025-06-28 09:51:30.900000+00:00,4.514866586272052,37.82170813923602,112.0,105.82170813923602,port,Broad Reach,4.468215376713301,35.02287237440318,100.0
2025-06-28 09:51:32.900000+00:00,4.526099827443793,35.72391731907055,112.0,103.72391731907055,port,Broad Reach,4.461811607049836,34.87301925046618,100.0
2025-06-28 09:51:34.900000+00:00,4.453793357185011,34.40948992823701,112.0,102.40948992823701,port,Broad Reach,4.30389505721784,32.39290409476816,100.0
2025-06-28 09:51:36.900000+00:00,4.126818172783669,30.208543019136698,112.0,98.2085430191367,port,Beam Reach,4.285289490935966,29.88262650601762,90.0
2025-06-28 09:51:38.900000+00:00,3.897897342404674,23.80086206816054,112.0,91.80086206816054,port,Beam Reach,4.149836345852742,27.155150379186274,90.0
2025-06-28 09:51:40.900000+00:00,4.421838754862683,25.270320195483293,112.0,93.2703201954833,port,Beam Reach,4.195324812754977,24.03714371439679,90.0
2025-06-28 09:51:42.900000+00:00,3.8488341020276717,22.086536684913824,112.0,90.08653668491382,port,Beam Reach,4.3511878253928,21.735572815927547,90.0
2025-06-28 09:51:44.900000+00:00,4.681235691696188,18.8194566042896,112.0,86.8194566042896,port,Beam Reach,4.456555283883576,19.438612246704622,80.0
2025-06-28 09:51:46.900000+00:00,4.906133235972782,18.700688526790486,112.0,86.70068852679049,port,Beam Reach,4.5592599978309085,17.49038156378605,80.0
2025-06-28 09:51:48.900000+00:00,4.424734634858554,12.316059222045908,112.0,80.31605922204591,port,Beam Reach,4.811760300202261,16.657829141878857,80.0
2025-06-28 09:51:50.900000+00:00,4.935362324599347,15.52916678089042,112.0,83.52916678089042,port,Beam Reach,4.93854384493927,18.701122440642166,80.0
2025-06-28 09:51:52.900000+00:00,5.1113356138844335,17.923774575377877,112.0,85.92377457537788,port,Beam Reach,4.889309875871103,20.601419224704546,80.0
2025-06-28 09:51:54.900000+00:00,5.315153415381236,29.03592309810614,112.0,97.03592309810614,port,Beam Reach,4.985588974094166,21.87832362598566,90.0
2025-06-28 09:51:56.900000+00:00,4.659963390631944,28.202172447102384,112.0,96.20217244710238,port,Beam Reach,4.890411572816571,20.06870858226655,90.0
2025-06-28 09:51:58.900000+00:00,4.90613012597387,18.700581228451483,112.0,86.70058122845148,port,Beam Reach,4.8278303940108716,19.369301588425014,80.0
2025-06-28 09:52:00.900000+00:00,4.459475318211371,6.481091562294864,112.0,74.48109156229486,port,Close Reach,4.6482182655386115,17.043309726690314,70.0
2025-06-28 09:52:02.900000+00:00,4.798429719855937,14.426739606170202,112.0,82.4267396061702,port,Beam Reach,4.743270056271159,13.093874290467909,80.0
2025-06-28 09:52:04.900000+00:00,4.417092773019936,17.405963789432633,112.0,85.40596378943263,port,Beam Reach,4.7677138953544285,11.080967546663896,80.0
2025-06-28 09:52:06.900000+00:00,5.135222344294681,8.454995265990362,112.0,76.45499526599036,port,Close Reach,4.906864358331748,11.752452370795117,70.0
